# -*-sh-*-
# Created based on data from
#  "Measurement of the inclusive jet cross section in pp(bar) collisions at sqrt(s) = 1.96 TeV"
#   by D0 collaboration,
#   http://www-d0.fnal.gov/Run2Physics/WWW/results/final/QCD/Q08A 
#
# Predictions using FastNLO table from 
#   http://projects.hepforge.org/~fastnlo/code/src/fnt2009midp.tab.gz
#
# Measured inclusive jet differential cross section as a function of PT for 
# the absolute rapidity range 0.0 to 2.0 with the cone radius R = 0.7: 
#
#Description of systematic sources:
# Source    Description
# ------    ----------- 
# duncorr   Uncorrelated uncertainty                
# dsys001   EM energy scale                         
# dsys002   Photon energy scale                     
# dsys003   High p_{T} extrapolation                
# dsys004   #eta-intercalibration                   
# dsys005   Detector showering                      
# dsys006   Luminosity                              
# dsys007   #eta-intercalibration                   
# dsys008   #eta-intercalibration                   
# dsys009   #eta-intercalibration                   
# dsys010   JES resolution bias                     
# dsys011   Resolution method                       
# dsys012   Non-Gaussian tails                      
# dsys013   Zero-suppression                        
# dsys014   Resolution                              
# dsys015   #eta-intercalibration fit               
# dsys016   JES MPF bias                            
# dsys017   JES MPF bias                            
# dsys018   Rapidity unfolding                      
# dsys019   Trigger matching                        
# dsys020   Dijet response fit                      
# dsys021   Dijet response fit                      
# dsys022   Trigger matching                        
# dsys023   CC response fit      
#
# Prepared for Alpos by D. Britzger
#   open question: stat. correlations missing.
#
#

##########################################################
#  General parameters of this dataset
##########################################################
AlposName			"bla-33"  # A unique alpos name
Description		  	"D0 inclusive jets Run-II"
Reference			"Phys.Rev.Lett. 101 (2008) 062001"  # 


##########################################################
#  fastNLO parameters, specific to this dataset
#  not specified parameters are taken from default as
#  specified in the global steering file
##########################################################
# --- TheoryFunction: 'fastNLO' ---
Filename			theoryfiles/fnt2009midp_cv21_I779574.tab
Units				1      # 0: absoluteUnits, 1: PublicationUnits
MuRFuncForm			0      # 0: scale1, 1: scale2, 2: quad.sum, 3: quad.mean
MuFFuncForm		        0      # 0: scale1, 1: scale2, 2: quad.sum, 3: quad.mean


##########################################################
#  Data table 
#  
#  Necessary keys are:
#   + ErrorSet           (Specifies the 'set' of error, which may correlated to other data sets)
#   + Data		 (the data table, bin boundaries, and errors)
#   + Errors		 (specify the used errors, and its nature)
#   + TheoryFactors     (multiplicative factors to be applied on theory) 
#   + TheoryErrors	 (additional errors on the theory [as sepcified in 'Data'])
# 
##########################################################


Data {{
EtaBin  PubFit  ymin    ymax    pt1    pt2       NPCorr     Sigma           stat            had 	 ue       totnp(\%)  duncu duncd   s01u s01d   s02u s02d    s03u s03d    s04u s04d    s05u s05d    s06u s06d    s07u s07d    s08u s08d    s09u s09d    s10u s10d    s11u s11d    s12u s12d    s13u s13d    s14u s14d    s15u s15d    s16u s16d    s17u s17d   s18u s18d    s19u s19d    s20u s20d    s21u s21d    s22u s22d    s23u s23d     
1	1	0.0     0.4     50	60     	1.113		2.314e+04       0.7         -14.3	 +29.9     +11.3      +1.1 -1.1    +2.7 -2.6    +1.8 -1.8    +0.0 +0.0    +0.0 +0.0    +3.0 -3.0    +6.5 -5.8    +0.5 -0.5    +0.0 +0.0    +0.0 +0.0    +1.5 -1.5    +0.4 -0.4    +0.3 -0.3    +4.0 -3.9    +1.1 -1.1    +0.0 +0.0    +3.0 -2.9    +0.0 +0.0   +0.1 -0.1    +0.2 -0.2    +0.8 -0.8    +6.1 -5.9    +2.1 -2.1    -0.1 +0.1      
1	1	0.0     0.4     60	70     	1.098		8818            0.3         -12.9	 +26.0     +9.8       +0.8 -0.9    +2.7 -2.6    +2.0 -1.9    +0.0 +0.0    +0.0 +0.0    +2.8 -2.7    +6.5 -5.8    +0.5 -0.5    +0.0 +0.0    +0.0 +0.0    +1.2 -1.2    +0.3 -0.3    +0.2 -0.2    +3.6 -3.5    +0.9 -0.9    +0.0 +0.0    +2.7 -2.7    +0.0 +0.0   +0.0 -0.0    +0.2 -0.2    -0.4 +0.4    +4.9 -4.8    +1.4 -1.4    -0.2 +0.2      
1	1	0.0     0.4     70	80     	1.085		3772            0.5         -11.6	 +22.8     +8.5       +0.7 -0.7    +2.7 -2.6    +2.1 -2.1    +0.0 +0.0    +0.0 +0.0    +2.8 -2.7    +6.5 -5.8    +0.5 -0.5    +0.0 +0.0    +0.0 +0.0    +1.0 -1.0    +0.3 -0.3    +0.1 -0.2    +3.3 -3.3    +0.8 -0.8    +0.0 +0.0    +2.5 -2.4    +0.0 +0.0   +0.0 -0.0    +0.2 -0.2    -1.1 +1.2    +4.0 -3.9    +1.4 -1.4    -0.3 +0.3      
1	1	0.0     0.4     80	90     	1.075		1759            0.7         -10.6	 +20.2     +7.5       +0.6 -0.6    +2.7 -2.6    +2.2 -2.2    +0.0 +0.0    +0.0 +0.0    +2.7 -2.7    +6.5 -5.8    +0.5 -0.5    +0.0 +0.0    +0.0 +0.0    +0.9 -0.9    +0.2 -0.2    +0.1 -0.2    +3.1 -3.0    +0.8 -0.8    +0.0 +0.0    +2.3 -2.2    +0.0 +0.0   +0.0 -0.0    +0.2 -0.2    -1.6 +1.6    +3.3 -3.2    +1.4 -1.4    -0.3 +0.3      
1	1	0.0     0.4     90	100    	1.066		893             1.0         -9.6	 +18.0     +6.6       +0.6 -0.6    +2.7 -2.6    +2.4 -2.3    -0.0 +0.0    +0.0 +0.0    +2.8 -2.7    +6.5 -5.8    +0.5 -0.5    +0.0 +0.0    +0.0 +0.0    +0.8 -0.8    +0.2 -0.2    +0.1 -0.1    +2.9 -2.9    +0.7 -0.7    +0.0 +0.0    +2.1 -2.1    +0.0 +0.0   +0.0 -0.0    +0.2 -0.2    -1.9 +1.9    +2.7 -2.7    +1.4 -1.4    -0.4 +0.4      
1	1	0.0     0.4     100	110    	1.059		482.8           0.4         -8.8	 +16.1     +5.9       +0.6 -0.6    +2.7 -2.7    +2.5 -2.4    -0.2 +0.2    +0.0 +0.0    +2.8 -2.7    +6.5 -5.8    +0.5 -0.5    +0.0 +0.0    +0.0 +0.0    +0.8 -0.8    +0.2 -0.2    +0.1 -0.1    +2.7 -2.7    +0.7 -0.7    +0.0 +0.0    +2.0 -1.9    +0.0 +0.0   +0.0 -0.0    +0.2 -0.2    -2.0 +2.1    +2.2 -2.2    +1.0 -1.0    -0.4 +0.4      
1	1	0.0     0.4     110	120    	1.053		274.4           0.5         -8.1	 +14.6     +5.3       +0.5 -0.5    +2.8 -2.7    +2.6 -2.6    -0.1 +0.1    +0.0 +0.0    +2.8 -2.8    +6.5 -5.8    +0.5 -0.5    +0.0 +0.0    +0.0 +0.0    +0.7 -0.7    +0.2 -0.2    +0.1 -0.1    +2.6 -2.5    +0.6 -0.6    +0.0 +0.0    +1.8 -1.8    +0.0 +0.0   +0.0 -0.0    +0.2 -0.2    -2.1 +2.2    +1.9 -1.8    +1.0 -1.0    -0.4 +0.4      
1	1	0.0     0.4     120	130    	1.048		158.8           0.3         -7.5	 +13.3     +4.8       +0.5 -0.5    +2.8 -2.7    +2.7 -2.7    +0.1 -0.1    +0.0 +0.0    +2.9 -2.8    +6.5 -5.8    +0.5 -0.5    +0.0 +0.0    +0.0 +0.0    +0.7 -0.7    +0.2 -0.2    +0.1 -0.1    +2.5 -2.4    +0.6 -0.6    +0.0 +0.0    +1.7 -1.7    +0.0 +0.0   +0.0 -0.0    +0.2 -0.2    -2.1 +2.2    +1.5 -1.5    +0.0 +0.0    -0.4 +0.4      
1	1	0.0     0.4     130	145    	1.043		86.44           0.4         -6.9	 +12.0     +4.3       +0.5 -0.5    +2.9 -2.8    +2.9 -2.8    +0.2 -0.2    +0.0 +0.0    +3.0 -2.9    +6.5 -5.8    +0.6 -0.6    +0.0 +0.0    +0.0 +0.0    +0.6 -0.6    +0.2 -0.2    +0.2 -0.1    +2.3 -2.3    +0.6 -0.6    +0.0 +0.0    +1.7 -1.7    +0.0 +0.0   +0.0 -0.0    +0.5 -0.5    -2.1 +2.2    +1.2 -1.2    +0.0 +0.0    -0.4 +0.4      
1	0	0.0     0.4     145	160    	1.038		43.38           0.5         -6.2	 +10.7     +3.8       +0.5 -0.5    +2.9 -2.8    +3.0 -3.0    +0.4 -0.4    +0.0 +0.0    +3.1 -3.0    +6.5 -5.8    +0.6 -0.6    +0.0 +0.0    +0.0 +0.0    +0.6 -0.6    +0.2 -0.2    +0.1 -0.1    +2.2 -2.1    +0.6 -0.6    +0.0 +0.0    +1.6 -1.6    +0.0 +0.0   +0.0 -0.0    +0.5 -0.5    -2.0 +2.1    +0.9 -0.9    +0.0 +0.0    -0.4 +0.4      
