# -*-sh-*-
# Created based on data from
#  "Measurement of the inclusive jet cross section in pp(bar) collisions at sqrt(s) = 1.96 TeV"
#   by D0 collaboration,
#   http://www-d0.fnal.gov/Run2Physics/WWW/results/final/QCD/Q08A 
#
# Predictions using FastNLO table from 
#   http://projects.hepforge.org/~fastnlo/code/src/fnt2009midp.tab.gz
#
# Errors are symmetrizated as errsym = sign("1")*max(|"1"|,|"2"|)
#
# File prepared for H1 Fitter by Alexander Bylinkin (alexander.bylinkin@desy.de) on 23.08.2011
#                     Checked by Pavel Belov        (pavel.belov@desy.de)        aug 2011. 
# Adapted for Alpos by D. Britzger
#   open question: stat. correlations missing.

##########################################################
#  General parameters of this dataset
##########################################################
AlposName			"bla-33"  # A unique alpos name
Description		  	"D0 inclusive jets Run-II"
Reference			"Phys.Rev.Lett. 101 (2008) 062001"  # 


##########################################################
#  fastNLO parameters, specific to this dataset
#  not specified parameters are taken from default as
#  specified in the global steering file
##########################################################
# --- TheoryFunction: 'fastNLO' ---
Filename			theoryfiles/fnt2009midp_cv21_I779574.tab
Units				1      # 0: absoluteUnits, 1: PublicationUnits
MuRFuncForm			0      # 0: scale1, 1: scale2, 2: quad.sum, 3: quad.mean
MuFFuncForm		        0      # 0: scale1, 1: scale2, 2: quad.sum, 3: quad.mean


##########################################################
#  Data table 
#  
#  Necessary keys are:
#   + ErrorSet           (Specifies the 'set' of error, which may correlated to other data sets)
#   + Data		 (the data table, bin boundaries, and errors)
#   + Errors		 (specify the used errors, and its nature)
#   + TheoryFactors     (multiplicative factors to be applied on theory) 
#   + TheoryErrors	 (additional errors on the theory [as sepcified in 'Data'])
# 
##########################################################

Data {{
EtaBin  PubFit  pt1    pt2    Sigma   stat   ignore  ignore  NPCorr uncor sys1 sys2 sys3 sys4 sys5 sys6 sys7 sys8 sys9 sys10 sys11 sys12 sys13 sys14 sys15 sys16 sys17 sys18 sys19 sys20 sys21 sys22 sys23
1	1	50	60	23140	0.7	-14.3	29.9	1.113	1.1	2.7	1.8	0	0	3	6.5	0.5	0	0	1.5	0.4	0.3	4	1.1	0	3	0	0.1	0.2	0.8	6.1	2.1	-0.1	
1	1	60	70	8818	0.3	-12.9	26	1.098	0.9	2.7	2	0	0	2.8	6.5	0.5	0	0	1.2	0.3	0.2	3.6	0.9	0	2.7	0	0	0.2	-0.4	4.9	1.4	-0.2	
1	1	70	80	3772	0.5	-11.6	22.8	1.085	0.7	2.7	2.1	0	0	2.8	6.5	0.5	0	0	1	0.3	0.2	3.3	0.8	0	2.5	0	0	0.2	-1.2	4	1.4	-0.3	
1	1	80	90	1759	0.7	-10.6	20.2	1.075	0.6	2.7	2.2	0	0	2.7	6.5	0.5	0	0	0.9	0.2	0.2	3.1	0.8	0	2.3	0	0	0.2	-1.6	3.3	1.4	-0.3	
1	1	90	100	893	1	-9.6	18	1.066	0.6	2.7	2.4	0	0	2.8	6.5	0.5	0	0	0.8	0.2	0.1	2.9	0.7	0	2.1	0	0	0.2	-1.9	2.7	1.4	-0.4	
1	1	100	110	482.8	0.4	-8.8	16.1	1.059	0.6	2.7	2.5	-0.2	0	2.8	6.5	0.5	0	0	0.8	0.2	0.1	2.7	0.7	0	2	0	0	0.2	-2.1	2.2	1	-0.4	
1	1	110	120	274.4	0.5	-8.1	14.6	1.053	0.5	2.8	2.6	-0.1	0	2.8	6.5	0.5	0	0	0.7	0.2	0.1	2.6	0.6	0	1.8	0	0	0.2	-2.2	1.9	1	-0.4	
1	1	120	130	158.8	0.3	-7.5	13.3	1.048	0.5	2.8	2.7	0.1	0	2.9	6.5	0.5	0	0	0.7	0.2	0.1	2.5	0.6	0	1.7	0	0	0.2	-2.2	1.5	0	-0.4	
1	1	130	145	86.44	0.4	-6.9	12	1.043	0.5	2.9	2.9	0.2	0	3	6.5	0.6	0	0	0.6	0.2	0.2	2.3	0.6	0	1.7	0	0	0.5	-2.2	1.2	0	-0.4	
1	0	145	160	43.38	0.5	-6.2	10.7	1.038	0.5	2.9	3	0.4	0	3.1	6.5	0.6	0	0	0.6	0.2	0.1	2.2	0.6	0	1.6	0	0	0.5	-2.1	0.9	0	-0.4	
