!
! This datafile is a successor of the Dataset 139.
! H1 Collaboration, DESY
!
&Data
   Name  = 'NC em High Y'
   NData =  11                        ! Number of data points
   NColumn =  35                       ! Number of all columns
   ColumnType = 3*'Bin','Sigma',32*'Error'
   ColumnName = 'Q2','x', 'y','x-section','stat',2*'ignore', 'uncor',3*'ignore', 'E3','T4','H3','N2',4*'ignore', 'S2',
                13*'ignore','LUMI_HERAII_beta_500', 'L10', 'L11'
   NInfo    = 4
   DataInfo =  318.,        -1.,         0.,	    1.
   CInfo    = 'sqrt(S)','e charge','e polarity', 'reduced'

   IndexDataset = 139

   Reaction = 'NC e+-p'
   Percent = 31*true
!//  Q^2         x       y   sigma meas    stat     sys     tot     unc   uncE+ uncHaE+    corr 
!  corE+  corTh+ corHaE+ corNoi+ corHTh+ corBkg+ uncEId+ unTrig+ corChA+
! uncVtx+   QEDr+     Ndat      Nmc    Nbg  DWrCh  NPhot MCstat    dmc         theo    acc    pur   stab

&END
      60  0.000788  0.7500 1.46185     1.02    2.06    2.29    1.84   -0.52    0.28    0.92   -0.19   -0.62    0.05    0.19    0.00    0.00    0.20    0.77   -0.62    1.00    1.00  12550.3  12761.4    0.0 1822.0    0.0  275.7  0.983   1.4601e+00   15.9   72.9   87.4    0.00    0.38    0.50 2.3 1.244 0.837 
      90  0.001181  0.7500 1.46256     0.83    1.88    2.05    1.71   -0.31    0.26    0.77   -0.28   -0.45    0.07    0.20    0.00    0.00    0.20    0.62   -0.52    1.00    1.00  18064.0  17939.3    0.0 2235.0    0.0  362.1  1.007   1.4268e+00   29.9   72.6   82.6    0.00    0.31    0.50 2.3 1.244 0.837 
     120  0.001575  0.7500 1.42551     0.93    1.94    2.15    1.82    0.48    0.28    0.69   -0.09   -0.40    0.05    0.22    0.00    0.00    0.20    0.75   -0.50    1.00    1.00  14549.3  14413.7    0.0 1756.0    0.0  284.4  1.009   1.3872e+00   32.8   74.5   83.0    0.00    0.35    0.50 2.3 1.244 0.837 
     150  0.001969  0.7500 1.33643     1.05    1.99    2.25    1.89    0.38    0.27    0.61   -0.19   -0.34    0.06    0.22    0.00    0.00    0.20    0.97   -0.41    1.00    1.00  10923.8  11222.1    0.0 1106.0    0.0  205.5  0.973   1.3486e+00   35.3   77.0   84.3    0.00    0.36    0.50 2.3 1.244 0.837 
     200  0.002625  0.7500 1.27413     1.35    2.08    2.48    2.00    0.49    0.30    0.56   -0.07   -0.35    0.06    0.24    0.00    0.00    0.20    1.10   -0.35    1.00    1.00   6480.7   6681.6    0.0  577.0    0.0  124.5  0.970   1.2904e+00   35.6   74.3   79.9    0.00    0.42    0.50 2.3 1.244 0.837 
     250  0.003282  0.7500 1.26609     1.54    2.05    2.56    1.98    0.31    0.32    0.53   -0.13   -0.29    0.08    0.26    0.00    0.00    0.20    1.11   -0.32    1.00    1.00   4900.3   4885.3    0.0  390.0    0.0   73.9  1.003   1.2399e+00   34.2   74.6   79.3    0.00    0.45    0.50 2.3 1.244 0.837 
     300  0.003938  0.7500 1.21366     1.79    2.03    2.70    1.96    0.14    0.31    0.51   -0.12   -0.26    0.06    0.28    0.00    0.00    0.20    1.10   -0.31    1.00    1.00   3641.4   3653.0    0.0  286.0    0.0   57.7  0.997   1.1960e+00   34.1   75.5   79.4    0.00    0.48    0.50 2.3 1.244 0.837 
     400  0.005251  0.7500 1.1423      1.95    2.02    2.81    1.96    0.26    0.30    0.50   -0.06   -0.35    0.08    0.25    0.00    0.00    0.20    1.07   -0.23    1.00    1.00   2974.4   2976.9    0.0  186.0    0.0   50.3  0.999   1.1230e+00   37.1   76.9   81.0    0.00    0.50    0.50 2.3 1.244 0.837 
     500  0.006564  0.7500 1.03602     2.16    1.94    2.90    1.90    0.13    0.25    0.35   -0.11   -0.15    0.09    0.25    0.00    0.00    0.20    1.00   -0.13    1.00    1.00   2336.1   2445.2    0.0   98.0    0.0   36.7  0.955   1.0652e+00   39.9   78.0   82.1    0.00    0.51    0.50 2.3 1.244 0.837 
     650  0.008533  0.7500 0.973686    2.45    1.95    3.13    1.92    0.21    0.21    0.38    0.07   -0.28    0.06    0.23    0.00    0.00    0.20    0.98   -0.08    1.00    1.00   1758.6   1831.9    0.0   46.0    0.0   19.7  0.960   9.9631e-01   39.5   78.6   82.0    0.00    0.57    0.50 2.3 1.244 0.837 
     800  0.010502  0.7500 0.949702    2.85    2.01    3.49    1.97   -0.23    0.21    0.39   -0.22   -0.20    0.06    0.25    0.00    0.00    0.20    1.01   -0.04    1.00    1.00   1279.3   1290.9    0.0   24.0    0.0   14.7  0.991   9.4136e-01   37.2   79.8   84.3    0.00    0.69    0.50 2.3 1.244 0.837 
