 !
! This datafile is a successor of the Dataset 138.
! H1 Collaboration, DESY
!
&Data
   Name  = 'NC ep High Y'
   NData =  11                        ! Number of data points
   NColumn =  35                       ! Number of all columns
   ColumnType = 3*'Bin','Sigma',32*'Error'
   ColumnName = 'Q2','x', 'y','x-section','stat',2*'ignore', 'uncor',3*'ignore', 'E3','T4','H3','N2',4*'ignore', 'S2',
                13*'ignore','LUMI_HERAII_beta_500', 'L8', 'L9'
   NInfo    = 4
   DataInfo =  318.,        +1.,         0.,	    1.
   CInfo    = 'sqrt(S)','e charge','e polarity', 'reduced'

   IndexDataset = 138

   Reaction = 'NC e+-p'
   Percent = 31*true
!//  Q^2         x       y   sigma meas    stat     sys     tot     unc   uncE+ uncHaE+    corr 
!  corE+  corTh+ corHaE+ corNoi+ corHTh+ corBkg+ uncEId+ unTrig+ corChA+
! uncVtx+   QEDr+     Ndat      Nmc    Nbg  DWrCh  NPhot MCstat    dmc         theo    acc    pur   stab

&END
     60  0.000788  0.7500 1.47956    0.88    2.03    2.21    1.86   -0.70    0.26    0.81   -0.31   -0.48    0.05    0.17    0.00    0.00    0.20    0.70    0.54    1.00    1.00  16264.6  16336.6    0.0 2286.0    0.0  419.9  0.996   1.4598e+00   17.6   73.3   87.6    0.00    0.37    0.50 2.3 0.998 1.119 
     90  0.001181  0.7500 1.48648    0.72    1.79    1.93    1.64   -0.13    0.26    0.73   -0.21   -0.50    0.07    0.21    0.00    0.00    0.20    0.46    0.44    1.00    1.00  23655.9  23103.9    0.0 2776.0    0.0  555.7  1.024   1.4261e+00   32.9   72.4   82.6    0.00    0.30    0.50 2.3 0.998 1.119 
    120  0.001575  0.7500 1.40372    0.84    1.86    2.04    1.71    0.36    0.28    0.72    0.10   -0.45    0.07    0.23    0.00    0.00    0.20    0.55    0.50    1.00    1.00  17664.6  17758.1    0.0 2253.0    0.0  384.5  0.995   1.3862e+00   34.7   74.2   82.7    0.00    0.35    0.50 2.3 0.998 1.119 
    150  0.001969  0.7500 1.37043    0.96    1.92    2.14    1.81    0.42    0.25    0.64   -0.24   -0.36    0.07    0.23    0.00    0.00    0.20    0.77    0.41    1.00    1.00  13061.7  13070.6    0.0 1396.0    0.0  268.4  0.999   1.3471e+00   35.5   76.3   84.5    0.00    0.37    0.50 2.3 0.998 1.119 
    200  0.002625  0.7500 1.31241    1.24    2.03    2.38    1.94    0.59    0.26    0.61   -0.03   -0.45    0.06    0.21    0.00    0.00    0.20    0.93    0.35    1.00    1.00   7613.7   7606.5    0.0  710.0    0.0  144.3  1.001   1.2880e+00   34.8   74.6   80.0    0.00    0.43    0.50 2.3 0.998 1.119 
    250  0.003282  0.7500 1.28523    1.43    1.95    2.42    1.88    0.20    0.30    0.50   -0.18   -0.27    0.05    0.23    0.00    0.00    0.20    0.95    0.30    1.00    1.00   5696.9   5579.4    0.0  476.0    0.0  108.7  1.021   1.2365e+00   33.7   74.7   79.7    0.00    0.47    0.50 2.3 0.998 1.119 
    300  0.003938  0.7500 1.22455    1.63    1.94    2.53    1.88    0.05    0.34    0.47   -0.17   -0.23    0.08    0.26    0.00    0.00    0.20    0.95    0.25    1.00    1.00   4270.8   4229.9    0.0  301.0    0.0   73.1  1.010   1.1914e+00   33.6   75.4   79.4    0.00    0.49    0.50 2.3 0.998 1.119 
    400  0.005251  0.7500 1.18302    1.73    1.94    2.60    1.89    0.35    0.27    0.42   -0.02   -0.27    0.07    0.28    0.00    0.00    0.20    0.91    0.14    1.00    1.00   3685.6   3538.7    0.0  192.0    0.0   75.6  1.041   1.1158e+00   37.6   76.9   81.6    0.00    0.52    0.50 2.3 0.998 1.119 
    500  0.006564  0.7500 1.05709    1.94    1.87    2.69    1.83   -0.07    0.23    0.41   -0.16   -0.23    0.07    0.25    0.00    0.00    0.20    0.85    0.13    1.00    1.00   2889.7   2936.0    0.0  128.0    0.0   47.7  0.984   1.0551e+00   41.0   78.3   82.8    0.00    0.52    0.50 2.3 0.998 1.119 
    650  0.008533  0.7500 0.997172   2.22    1.92    2.93    1.87    0.23    0.23    0.46   -0.09   -0.34    0.06    0.27    0.00    0.00    0.20    0.86    0.09    1.00    1.00   2167.1   2170.8    0.0   72.0    0.0   29.9  0.998   9.8120e-01   40.7   79.2   82.6    0.00    0.59    0.50 2.3 0.998 1.119 
    800  0.010502  0.7500 0.918002   2.65    1.98    3.31    1.93    0.21    0.24    0.43    0.07   -0.31    0.08    0.28    0.00    0.00    0.20    0.93    0.05    1.00    1.00   1485.0   1516.4    0.0   34.0    0.0   19.0  0.979   9.2085e-01   38.0   79.8   84.1    0.00    0.70    0.50 2.3 0.998 1.119 

